,city,black_seg,hisp_seg,asian_seg,white_seg,black_seg_v,asian_seg_v,hisp_seg_v,white_seg_v,black_seg_c,hisp_seg_c,asian_seg_c,white_seg_c
1,akron,0.578894631,0.559396782,0.715146827,0.548594122,0.580344306,0.700394785,0.572010349,0.544561675,0.639711786,0.834769358,0.889008245,0.614282743
2,albany,0.535495705,0.323815285,0.465922628,0.495868237,0.534146732,0.434534929,0.572010349,0.457101145,0.589530655,0.440625608,0.619381015,0.519752721
3,albuquerque,0.469526406,0.40199543,0.557137143,0.40558058,0.468334196,0.539535027,0.572010349,0.388378925,0.64925105,0.379777505,0.715649355,0.392930478
4,anaheim,0.451921709,0.463665622,0.382024897,0.411628082,0.439848444,0.362174188,0.572010349,0.389687182,0.634342611,0.401480779,0.394942349,0.368932003
5,anchorage,0.433543485,0.303190945,0.440944239,0.352255139,0.425770368,0.420279216,0.572010349,0.337005159,0.556888091,0.43604383,0.559174779,0.405550234
6,ann_arbor,0.454031756,0.29294781,0.43836386,0.342623067,0.431154033,0.424094029,0.572010349,0.333838336,0.523791167,0.507979914,0.411382728,0.377379409
7,antioch,0.311545352,0.241804673,0.425153029,0.275664212,0.316782272,0.422356735,0.572010349,0.275880915,0.395813389,0.28872156,0.517153627,0.346815344
8,arlington,0.418989833,0.43487483,0.504483242,0.455291152,0.418195914,0.500031662,0.572010349,0.44484646,0.480756237,0.391976617,0.587010378,0.443547579
9,atlanta,0.754771174,0.507823681,0.627001321,0.723803829,0.737089197,0.604194324,0.572010349,0.695337688,0.782013115,0.594741208,0.710121948,0.755229938
10,augusta,0.547689138,0.439199068,0.562493849,0.5499185,0.548266497,0.555340077,0.572010349,0.540391182,0.580641948,0.636864869,0.696981992,0.583377816
11,aurora,0.338190766,0.426011476,0.451074498,0.387330961,0.339654248,0.434003441,0.572010349,0.374197034,0.455400265,0.398587062,0.587042613,0.373284152
12,austin,0.501446659,0.505184965,0.535146536,0.494631707,0.501866305,0.51241253,0.572010349,0.462331937,0.612339764,0.425355012,0.602769534,0.457894222
13,bakersfield,0.434132316,0.382809802,0.505624747,0.427079431,0.436195606,0.492872918,0.572010349,0.414183098,0.564425537,0.36913324,0.574235683,0.400617389
14,baltimore,0.725564637,0.60612034,0.710704157,0.705749532,0.728760032,0.69516401,0.572010349,0.697573336,0.76146462,0.758457991,0.82471942,0.750136891
15,baton_rouge,0.695698333,0.523649295,0.62342972,0.667925658,0.690458931,0.608443789,0.572010349,0.653270105,0.733951599,0.645446125,0.771843751,0.695695287
16,birmingham,0.712068315,0.703917454,0.770325542,0.720768361,0.713052372,0.759731196,0.572010349,0.712089938,0.748242147,0.871549543,0.930375888,0.747759513
17,bonita_springs,0.691498841,0.665153483,0.567541125,0.631462031,0.673718389,0.555284095,0.572010349,0.625133535,0.892331843,0.673459853,0.826423578,0.625811262
18,boston,0.641726542,0.4885135,0.52310031,0.606738021,0.657529528,0.505618002,0.572010349,0.577442948,0.705418452,0.528202587,0.590812055,0.622557235
19,bremerton,0.39902996,0.323636651,0.397886107,0.260278153,0.389871759,0.388696352,0.572010349,0.265383805,0.54319746,0.484602225,0.515791815,0.388032184
20,brownsville,0.817385935,0.50563038,0.796641168,0.51218919,0.832151467,0.787158431,0.572010349,0.522875671,0.933241639,0.566121435,0.853460685,0.56519929
21,buffalo,0.68534799,0.499939552,0.668240789,0.617703096,0.688081719,0.650531651,0.572010349,0.610942225,0.723051802,0.625342203,0.848086346,0.659934267
22,cape_coral,0.629780887,0.395004426,0.704297417,0.375907627,0.627712691,0.701926955,0.572010349,0.378310568,0.769360823,0.45374957,0.870498349,0.439401337
23,charleston,0.662888838,0.495270158,0.576797979,0.59658141,0.647221985,0.569871376,0.572010349,0.574483451,0.669923492,0.682441169,0.781892416,0.623247553
24,charlotte,0.518717644,0.476231085,0.492119874,0.561189712,0.518600588,0.485092399,0.572010349,0.543813867,0.60489148,0.552043213,0.635316171,0.583677896
25,chattanooga,0.649936303,0.607273701,0.622336186,0.595143262,0.648450375,0.606153774,0.572010349,0.590739948,0.711015637,0.745882427,0.853518904,0.663975697
26,chicago,0.83798349,0.688177407,0.655771965,0.670929496,0.833074355,0.627187072,0.572010349,0.653353943,0.855069565,0.676999341,0.703090332,0.688519481
27,chula_vista,0.351260654,0.299725133,0.428266085,0.276400417,0.347911649,0.425176032,0.572010349,0.275480527,0.49052074,0.287136693,0.44920766,0.304785684
28,cleveland,0.73293342,0.586758383,0.771745584,0.623664763,0.740896082,0.760814188,0.572010349,0.633196663,0.768657275,0.673522721,0.891833622,0.68196055
